CODIGOISIMP;AUTORIZACAO;DATAPUBLICACAO;RAZAOSOCIAL;CNPJ;ENDERECO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;BANDEIRA;DATAVINCULACAO
1038690;PR/AC0167611;26/07/2005;AUTO POSTO CAMILA LTDA;05938540000134;AVENIDA JOSE RUI LINO,  500;;RAIMUNDO CHAAR;69932000;AC;BRASILEIA;VIBRA;26/07/2005
1047185;PR/AC0200859;11/10/2006;NOSSO POSTO LTDA;08065008000148;RUA MINAS GERAIS,  900;;PREVENTORIO;69900129;AC;RIO BRANCO;BANDEIRA BRANCA;07/04/2025
1032691;PR/AC0168392;20/04/2004;FARHAT & PINHEIRO LTDA;06057934000146;RUA SANTA INES,  1036;;BAIXA DA COLINA;69901313;AC;RIO BRANCO;VIBRA;16/11/2009
160712;PR/AC0163295;29/09/2003;F SILVA DE SOUSA LTDA;05815776000183;AV. MARECHAL DEODORO,  1700;;CENTRO;69960000;AC;FEIJO;ATEM' S;04/07/2013
1017635;PR/AL0015680;19/10/2001;REVCOM-REVENDA DE COMBUSTIVEIS LTDA;24322380000149;VILA TRIUNFO,  S/N;;VILA TRIUNFO;57680000;AL;BOCA DA MATA;RAIZEN;19/10/2001
1017621;PR/AL0013241;30/08/2001;AUTO POSTO E CHURRASCARIA CARIE LTDA;24238099000122;RODOVIA BR 423,  S/N;KM 26;ZONA RURAL;57530000;AL;CANAPI;BANDEIRA BRANCA;28/07/2003
1064962;PR/AM0227477;05/05/2008;POSTO DA VILLA COMERCIO DE PETROLEO LTDA;08878168000106;RUA MINISTRO ANTONIO CABREIRA,  1101;VILA AMAZONIA;CENTRO;69151970;AM;PARINTINS;IPIRANGA;02/12/2013
1040837;PR/AM0190697;21/11/2005;CACAPAVA COMERCIO DE PETROLEO LTDA;07498919000104;RUA SILVA CAMPOS,  1357;;CENTRO;69151293;AM;PARINTINS;IPIRANGA;01/06/2011
1001015;PR/AL0014660;08/08/2001;MARTA CRISTINA SOBRAL;00404850000406;AVENIDA WANDERLEY,  504;;SANTA LUZIA;57200000;AL;PENEDO;BANDEIRA BRANCA;22/03/2006
1062813;PR/AL0223985;21/02/2008;BORGHETTI & BORGHETTI LTDA.;08164888000100;LOCALIDADE AL 101 NORTE,  S/N;KM 105;SÍTIO QUIZANGA;57945000;AL;PORTO DE PEDRAS;VIBRA;08/05/2014
1006945;PR/AL0008688;08/05/2001;POSTO 4 RODAS LTDA;02991589000162;RODOVIA BR-101,  SN;;RUI PALMEIRA;57245300;AL;SAO MIGUEL DOS CAMPOS;IPIRANGA;04/07/2023
1056661;PF/AM0213796;15/06/2007;J A B EUFRASIO - COMERCIO DE COMBUSTIVEIS LTDA;05261994000113;PORTO DE AMATURA,  40;;CENTRO;69620000;AM;AMATURA;BANDEIRA BRANCA;03/12/2025
1014836;PR/AL0008496;08/05/2001;AMORIM & CORREIA LTDA;08413304000192;RUA PEDRO BARBOSA,  S/N;;CENTRO;57601080;AL;PALMEIRA DOS INDIOS;VIBRA;04/11/2009
1005760;PR/BA0014318;30/08/2001;AUTO POSTO CENTRAL RANGEL LTDA;02636350000174;RUA DR. JOAO MOISES DE OLIVEIRA,  84;SEDE;CENTRO;46650000;BA;BARRA DA ESTIVA;BANDEIRA BRANCA;16/03/2016
1015627;PR/BA0017805;14/11/2001;COMERCIAL DE COMBUSTIVEIS CAJUEIRO LTDA;13500087000108;RUA SATURNINO DE MENEZES,  1042;CASA;CENTRO;48360000;BA;ACAJUTIBA;PETROBAHIA;14/06/2021
1007683;PR/BA0003626;15/03/2001;JOAQUIM MARINHO DA SILVA & CIA LTDA;03207905000125;PRACA MATRIZ DA,  S/N;CASA;CENTRO;46280000;BA;CORDEIROS;BANDEIRA BRANCA;21/08/2007
1063184;PR/BA0224274;28/02/2008;SANTOS DERIVADOS DE PETROLEO LTDA;09224209000103;RUA DO PLANALTO,  377;;POVOADO DE SALOBRO;44890000;BA;CANARANA;BANDEIRA BRANCA;28/12/2009
1055206;PR/BA0212358;09/05/2007;POSTO REAL COMBUSTIVEIS E DERIVADOS EIRELI;07970464000170;RODOVIA BR 116 - KM 119,  S/N;POVOADO DE BENDEGO;SEDE;48520000;BA;CANUDOS;VIBRA;09/05/2007
1062708;PR/AP0223725;18/02/2008;AUTOMOTO - AUTOMOVEIS DO AMAPA LTDA;03659452000682;RUA CICERO MARQUES DE SOUZA,  3134;;NOVO HORIZONTE;68909803;AP;MACAPA;BANDEIRA BRANCA;15/06/2022
1037815;PR/AP0185822;14/06/2005;SEPE TIARAJU EMPREENDIMENTOS LTDA;05297501000286;RUA SETENTRIONAL,  SN;SETOR ESQ. COM BEIRA RIO;ARAXA;68903855;AP;MACAPA;VIBRA;08/07/2026
1044935;PR/BA0197315;03/07/2006;IRENIO BARRETO ALVES COMERCIO DE COMBUSTIVEIS;06893888000115;TRAVESSA MANOELZINHO GAVIAO,  76;TERREO;PARQUE TURISTICO;45450000;BA;GANDU;BANDEIRA BRANCA;20/11/2012
1061373;PR/BA0253139;24/06/2026;COMERCIAL DE COMBUSTIVEIS CUNHA CERQUEIRA LTDA;09003696000184;RODOVIA LOMANTO JR,  SN;KM    88;CENTRO;44642000;BA;NOVA FATIMA;BANDEIRA BRANCA;24/06/2026
1000365;PR/BA0031306;28/03/2003;JOSE OLIVEIRA DE ANDRADE DE HELIOPOLIS;00074796000127;AVENIDA HELVECIO PEREIRA DE SANTANA,  44;SALA;CENTRO - 1;48445000;BA;HELIOPOLIS;BANDEIRA BRANCA;09/06/2021
